Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8069552874378992,0.841778397788628,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.48434401941894756
Decision Tree,0.7253371185237757,0.6460474308300395,0.48247978436657685,0.4786096256684492,0.48053691275167787,0.2938594682035675
kNN,0.7473385379701917,0.7716035030613035,0.5252808988764045,0.5,0.5123287671232877,0.3421599896081188
Naive Bayes,0.6557842441447835,0.8092355782892867,0.4268774703557312,0.8663101604278075,0.5719329214474845,0.39507817633890707
Random Forest (Ensemble),0.7899219304471257,0.8259074117130384,0.6291390728476821,0.5080213903743316,0.5621301775147929,0.43021056907550176
